hi-beni,hi-beni_mean,hi-beni_std
"[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]",inf,
"[0.37954784758333004, 0.5027134877627997, 0.49282638533763207, 0.32019401308773926, 0.5250910819431626, 0.19560516375869885, 0.33561430893985394, 1.0847779414406824, 0.3130077174898926, 0.4388374997824205, 0.7552767911051432, 0.4044727208093466, 0.41453728507016374, 0.49161448636287347, 0.9227405260580611, 0.44329819403097154]",0.5012597156601732,0.22520040082029838
"[0.13765338581294473, 0.20887624255854276, 0.1828222634870987, 0.15242893994143702, 0.21011007792620878, 0.10034013565198022, 0.12017827267859207, 0.5008111621965686, 0.09536771933565741, 0.18177312656572153, 0.33068021564009414, 0.16519938635513132, 0.2045168073384545, 0.34430167213969043, 0.22418833058375465, 0.17800078854109033]",0.20857803292206045,0.10115605548934645
"[0.11803034736105662, 0.1718315344785929, 0.09657964146303223, 0.07591676608072874, 0.14261712141675612, 0.051543659586069455, 0.07591695486572395, 0.47733292786653847, 0.057055433970714234, 0.1112062845308006, 0.23775476910807428, 0.09925725620550839, 0.09722093457243748, 0.16281744563695655, 0.17768996927701308, 0.10195691214569808]",0.14092049741035634,0.09916816452486933
"[0.08771764592994641, 0.12074369865022944, 0.06537680608077046, 0.053894243824115735, 0.10736231577384699, 0.03940436914706898, 0.05427603231418719, 0.14756865891756646, 0.03780272303159822, 0.0819721630044984, 0.172981233163943, 0.0688231969694115, 0.06647911651969172, 0.12684474081752337, 0.1666832516974083, 0.06554727578386257]",0.0914673419766043,0.04241900357891225
"[0.08000938024322518, 0.08369990392788888, 0.05124824291087386, 0.04030708436073088, 0.07542831912808222, 0.034041199794667354, 0.040491304339006134, 0.11541875115815359, 0.027825244365425307, 0.06140006455681701, 0.09521963066246017, 0.053489506349605365, 0.04932965644352398, 0.08412984045262477, 0.0970763172570526, 0.04667531303872113]",0.06473685993680366,0.024999336220340472
"[0.02800783482774634, 0.0572022562096864, 0.037355403695829764, 0.026647469132153725, 0.05690689673734346, 0.019553840211747258, 0.036875269004599455, 0.09938786498832683, 0.020519591602895966, 0.044032775769421065, 0.08322601694319984, 0.043923415556563136, 0.03753390608434734, 0.07749686091905458, 0.061249326383915455, 0.040424110321412556]",0.048146427399265196,0.022286763819800035
"[0.02466266276663324, 0.0491799586198773, 0.032330759603484915, 0.024977166460959557, 0.04096709579124636, 0.018064894021952136, 0.030176010261920082, 0.09483603485997026, 0.016778226056896946, 0.03829564113531744, 0.06320505253903715, 0.035866530290039014, 0.031253349376451404, 0.051658705276278354, 0.0571499899802215, 0.030732599877503815]",0.04000841730736184,0.01916987327899049
"[0.019533936302776517, 0.036162304278906536, 0.02560704872114498, 0.020921029743679605, 0.03568775700612927, 0.016287051755207154, 0.023584244879621536, 0.0557942379886147, 0.014176585764617916, 0.031032712270237305, 0.050219358662753566, 0.029048291034845495, 0.02552294997181375, 0.04815651552029852, 0.04324167082970335, 0.025384212840244343]",0.03127249422316216,0.012139182464683916
"[0.015599429864474082, 0.03299954844870612, 0.022127281541681632, 0.015786806776842775, 0.029045740761435786, 0.014691352873539525, 0.015187630652421142, 0.05201059424164584, 0.013268819020115405, 0.028855419793838866, 0.043089719947539344, 0.02557181718445987, 0.022024116904515396, 0.04238761431906474, 0.04013903971056761, 0.022275665058570992]",0.027191287318713696,0.011578561704505209
"[inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf]",inf,
"[0.379643180647312, 0.503015828589872, 0.49367321343562953, 0.3201368461648157, 0.5250910819431626, 0.19570413885898294, 0.3357805344977247, 1.0847779414406824, 0.31296599373058837, 0.4387760877153004, 0.7559994402768011, 0.40294517365596066, 0.41453728507016374, 0.49095521136787795, 0.9227405260580611, 0.44567210450734357]",0.5014009117475174,0.22524226456327395
"[0.13711518153590452, 0.2103267766211978, 0.18277681625048367, 0.15121295267334608, 0.2101535525416565, 0.10175448310648551, 0.12017827267859206, 0.5008532714120911, 0.095348534609558, 0.1817070033730289, 0.3301895501991663, 0.16533324589262896, 0.20471419118633852, 0.3430445116832588, 0.22485449493096427, 0.17799481555229463]",0.20859735339043722,0.10100074133921194
"[0.11612910036968835, 0.1719312385240816, 0.09664411630774945, 0.0768825445211056, 0.1444017850826093, 0.051487591377656204, 0.07592442281573385, 0.47695934534515716, 0.05715408878925278, 0.11124420243501042, 0.2372342181148929, 0.09912043260452567, 0.09722152444546814, 0.1641432792129449, 0.17768681759241553, 0.0993763843906157]",0.1408463182455567,0.09913439588938734
"[0.08753946218055471, 0.11889102436946138, 0.06537256603920337, 0.053558039949608796, 0.10854216426461459, 0.03891725193170076, 0.05427603231418719, 0.14777916160061352, 0.03781204859276127, 0.08103174457158646, 0.17288476673606204, 0.06886473069915279, 0.06651281423826477, 0.11966001733461096, 0.16668325169740833, 0.0651819535940905]",0.09084418938211758,0.04211589625115247
"[0.07918494506877025, 0.08307658718369554, 0.04873186362114492, 0.04041519962808107, 0.07585020645113462, 0.033526946595835216, 0.040585313444461944, 0.11546682882044246, 0.027825244365425304, 0.06272322127548054, 0.09531716729656761, 0.05435915966985554, 0.049392974496440666, 0.0840466449615906, 0.096698228091017, 0.04657645526029325]",0.06461106163938979,0.025019917892972195
"[0.028121879463840857, 0.0561438001168734, 0.03746353655421742, 0.02659363249940383, 0.05704641502973815, 0.020200507675573194, 0.03671790341804554, 0.09985426784890618, 0.020661810942757635, 0.0439262433783008, 0.08319458616508452, 0.0438504382827754, 0.03736881529526727, 0.05505747877077931, 0.06102694272340443, 0.04084815116055953]",0.046754775582845465,0.02103602824208132
"[0.024754455550604345, 0.044547659319590545, 0.03099907928483061, 0.024908542597792148, 0.041020544090916135, 0.01729623378558355, 0.030203917330195694, 0.09473239736976555, 0.016791802714438468, 0.03811846891020546, 0.06320505253903715, 0.036212163655739114, 0.03104758587935881, 0.048884660353209576, 0.056563299134355295, 0.03080179232527446]",0.03938047842755606,0.019001401603440986
"[0.019533936302776524, 0.03482055594926868, 0.024900883463391664, 0.020822329366273047, 0.03573213431195024, 0.01537815560831799, 0.023839374982212426, 0.05566647535700761, 0.014188742103020659, 0.031082407859992008, 0.04995297093678462, 0.029037116202865046, 0.025698163034656024, 0.03702589796556221, 0.042739956438156985, 0.02459416822907346]",0.030313329256956824,0.011441228234753117
"[0.015585451005930163, 0.03192520689751046, 0.021542466830189653, 0.015613334451148993, 0.02876189497177446, 0.013964780784746897, 0.020014916162050964, 0.051952805125208196, 0.013243879359702535, 0.028883323490169383, 0.04281775907750882, 0.025532217966715415, 0.022031673009371984, 0.037512061514107395, 0.036720231373139345, 0.021660024101421538]",0.026735126632543512,0.010783791597022075
"[0.09363580968830577, 2.067947506520663, 0.558135802472459, 0.9691854733614808, 0.27556905935778486, 0.06461447871098898, 0.10904540964193918, 0.3841643738848331, 0.0469588315937431, 0.18357464611030436, 1.170971118122093, 0.16821227245762635, 0.15086403282344785, 0.09214342726174707, 0.5508265427257644, 3.1940911613423255]",0.6299962466297191,0.8440055127301455
"[0.09363580968830577, 2.067947506520663, 0.558135802472459, 0.9691854733614808, 0.27556905935778486, 0.06461447871098898, 0.10904540964193918, 0.3841643738848331, 0.0469588315937431, 0.18357464611030436, 1.170971118122093, 0.16821227245762635, 0.15086403282344785, 0.09214342726174707, 0.5508265427257644, 3.1940911613423255]",0.6299962466297191,0.8440055127301455
"[0.09363580968830577, 2.067947506520663, 0.558135802472459, 0.9691854733614808, 0.27556905935778486, 0.06461447871098898, 0.10904540964193918, 0.3841643738848331, 0.0469588315937431, 0.18357464611030436, 1.170971118122093, 0.16821227245762635, 0.15086403282344785, 0.09214342726174707, 0.5508265427257644, 3.1940911613423255]",0.6299962466297191,0.8440055127301455
"[0.09363580968830577, 2.067947506520663, 0.558135802472459, 0.9691854733614808, 0.27556905935778486, 0.06461447871098898, 0.10904540964193918, 0.3841643738848331, 0.0469588315937431, 0.18357464611030436, 1.170971118122093, 0.16821227245762635, 0.15086403282344785, 0.09214342726174707, 0.5508265427257644, 3.1940911613423255]",0.6299962466297191,0.8440055127301455
"[0.09363580968830577, 2.067947506520663, 0.558135802472459, 0.9691854733614808, 0.27556905935778486, 0.06461447871098898, 0.10904540964193918, 0.3841643738848331, 0.0469588315937431, 0.18357464611030436, 1.170971118122093, 0.16821227245762635, 0.15086403282344785, 0.09214342726174707, 0.5508265427257644, 3.1940911613423255]",0.6299962466297191,0.8440055127301455
