oroginal_path,label,basename,violla_default_pathes,violla_mn5_sf3_pathes,violla_mn1_sfdef_pathes,hog_pathes
/ssd_data/celebrity_data/dir_001/Angelina Jolie/104.jpg,Angelina Jolie,104.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/104.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/104.jpg,
/ssd_data/celebrity_data/dir_001/Angelina Jolie/724.jpg,Angelina Jolie,724.jpg,,,,
/ssd_data/celebrity_data/dir_001/Angelina Jolie/219.jpg,Angelina Jolie,219.jpg,,,,
/ssd_data/celebrity_data/dir_001/Angelina Jolie/541.jpg,Angelina Jolie,541.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/541.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/541.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/541.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/107.jpg,Angelina Jolie,107.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/107.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/107.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/107.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/525.jpg,Angelina Jolie,525.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/525.jpg,/ssd_data/celebrity_data/violla/mn5_sf3/Angelina Jolie/525.jpg,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/525.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/525.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/48.jpg,Angelina Jolie,48.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/48.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/48.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/48.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/357.jpg,Angelina Jolie,357.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/357.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/357.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/357.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/564.jpg,Angelina Jolie,564.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/564.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/564.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/564.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/224.jpg,Angelina Jolie,224.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/224.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/224.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/224.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/747.jpg,Angelina Jolie,747.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/747.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/747.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/747.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/419.jpg,Angelina Jolie,419.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/419.jpg,/ssd_data/celebrity_data/violla/mn5_sf3/Angelina Jolie/419.jpg,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/419.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/419.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/730.jpg,Angelina Jolie,730.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/730.jpg,/ssd_data/celebrity_data/violla/mn5_sf3/Angelina Jolie/730.jpg,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/730.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/730.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/62.jpg,Angelina Jolie,62.jpg,,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/62.jpg,
/ssd_data/celebrity_data/dir_001/Angelina Jolie/509.jpg,Angelina Jolie,509.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/509.jpg,/ssd_data/celebrity_data/violla/mn5_sf3/Angelina Jolie/509.jpg,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/509.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/509.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/133.jpg,Angelina Jolie,133.jpg,,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/133.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/133.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/691.jpg,Angelina Jolie,691.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/691.jpg,/ssd_data/celebrity_data/violla/mn5_sf3/Angelina Jolie/691.jpg,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/691.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/691.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/289.jpg,Angelina Jolie,289.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/289.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/289.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/289.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/756.jpg,Angelina Jolie,756.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/756.jpg,/ssd_data/celebrity_data/violla/mn5_sf3/Angelina Jolie/756.jpg,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/756.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/756.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/795.jpg,Angelina Jolie,795.jpg,,,,
/ssd_data/celebrity_data/dir_001/Angelina Jolie/638.jpg,Angelina Jolie,638.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/638.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/638.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/638.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/648.jpg,Angelina Jolie,648.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/648.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/648.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/648.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/68.jpg,Angelina Jolie,68.jpg,,,,/ssd_data/celebrity_data/hog/Angelina Jolie/68.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/99.jpg,Angelina Jolie,99.jpg,,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/99.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/99.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/686.jpg,Angelina Jolie,686.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/686.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/686.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/686.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/59.jpg,Angelina Jolie,59.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/59.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/59.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/59.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/600.jpg,Angelina Jolie,600.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/600.jpg,/ssd_data/celebrity_data/violla/mn5_sf3/Angelina Jolie/600.jpg,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/600.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/600.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/473.jpg,Angelina Jolie,473.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/473.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/473.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/473.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/140.jpg,Angelina Jolie,140.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/140.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/140.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/140.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/214.jpg,Angelina Jolie,214.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/214.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/214.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/214.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/343.jpg,Angelina Jolie,343.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/343.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/343.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/343.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/672.jpg,Angelina Jolie,672.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/672.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/672.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/672.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/321.jpg,Angelina Jolie,321.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/321.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/321.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/321.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/609.jpg,Angelina Jolie,609.jpg,,,,
/ssd_data/celebrity_data/dir_001/Angelina Jolie/63.jpg,Angelina Jolie,63.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/63.jpg,/ssd_data/celebrity_data/violla/mn5_sf3/Angelina Jolie/63.jpg,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/63.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/63.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/432.jpg,Angelina Jolie,432.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/432.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/432.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/432.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/195.jpg,Angelina Jolie,195.jpg,,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/195.jpg,
/ssd_data/celebrity_data/dir_001/Angelina Jolie/575.jpg,Angelina Jolie,575.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/575.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/575.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/575.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/496.jpg,Angelina Jolie,496.jpg,,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/496.jpg,
/ssd_data/celebrity_data/dir_001/Angelina Jolie/314.jpg,Angelina Jolie,314.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/314.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/314.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/314.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/643.jpg,Angelina Jolie,643.jpg,/ssd_data/celebrity_data/violla/default/Angelina Jolie/643.jpg,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/643.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/643.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/618.jpg,Angelina Jolie,618.jpg,,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/618.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/618.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/381.jpg,Angelina Jolie,381.jpg,,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/381.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/381.jpg
/ssd_data/celebrity_data/dir_001/Angelina Jolie/745.jpg,Angelina Jolie,745.jpg,,,/ssd_data/celebrity_data/violla/mn1_sfdef/Angelina Jolie/745.jpg,/ssd_data/celebrity_data/hog/Angelina Jolie/745.jpg
